Dataset,Condition,Formula,FRR,FAR,EER,AUC
synthetic,bright,fixed,0.018,0.008,0.008000000000000004,0.99964
synthetic,bright,bin,0.042,0.002,0.008000000000000004,0.99964
synthetic,bright,linear,0.026,0.008,0.012000000000000005,0.9996079999999999
synthetic,bright,interaction,0.034,0.002,0.010000000000000005,0.99964
synthetic,medium,fixed,0.19,0.018,0.06599999999999998,0.983672
synthetic,medium,bin,0.134,0.036,0.06599999999999998,0.983672
synthetic,medium,linear,0.122,0.042,0.07299999999999998,0.9833919999999999
synthetic,medium,interaction,0.224,0.016,0.07199999999999998,0.983628
synthetic,dark,fixed,0.604,0.088,0.272,0.789828
synthetic,dark,bin,0.28,0.268,0.272,0.789828
synthetic,dark,linear,0.394,0.186,0.274,0.788324
synthetic,dark,interaction,0.458,0.162,0.29100000000000004,0.780956
